ID,PCE_max(%),Jsc(mA/cm2),FF,Voc(V),(-)HOMO_acceptor(eV),(-)LUMO_acceptor(eV),Eg_acceptor(eV),acceptor(SMILES),M_acceptor(g/mol),(-)L2HOMO_donor(eV),(-)LUMO_donor(eV),Eg_donor(eV),donor(SMILES)
1,6.93,16.35,0.5,0.865,5.67,3.89,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(CCCCCCCCCC)CCCCCCCCCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1019.38,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
2,3.09,10.31,0.38,0.794,5.68,3.92,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1031.21,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
3,8.33,15.28,0.69,0.79,5.54,3.84,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.45,3.56,1.89,CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)S9
4,8.67,14,0.579,1.07,5.51,3.88,1.63,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,5.46,3.69,1.77,CC1=CC2=C(S1)C(C3=CC=C(SCCCCCCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(SCCCCCCCC)S%11
5,8.46,13.95,0.601,1.01,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.47,3.61,1.86,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC(Cl)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(Cl)=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC
6,6.91,14.76,0.571,0.82,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
7,0.7,2.7,0.43,0.646,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.2,3.61,1.59,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1
8,2.6,7.1,0.4,0.911,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.2,3.6,1.6,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
9,3.8,10,0.42,0.905,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.5,3.9,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
10,1.8,5.9,0.38,0.786,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.4,3.6,1.82,CC1=CC2=C(C(SC(C3=CC(CCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(CCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1
